condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,final_mean,final_sd,final_se,final_cv,auc_mean,auc_sd,auc_se,auc_cv
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,IkBa_release_signal,0.19796487678750002,0.10648362824878146,0.007529529562006078,0.5378915188227222,98.06722972,52.85351201908271,3.7373076758218073,0.5389518208069017
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,p50_p65,0.1542047626125,0.08039254650448105,0.005684611479017342,0.5213363396985272,76.02831122125001,39.60171924611268,2.8002644225572086,0.5208812166150542
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,TNFa,0.40555914486250005,0.19095275800138667,0.013502399006905428,0.4708382499083504,197.58791027499998,93.65575946680177,6.622462261615172,0.4739953944371042
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,p100,0.125721056775,0.11179404243313301,0.007905032550072499,0.8892228979049083,61.8091828025,54.88898813246253,3.8812375720932186,0.8880393760883445
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,Phenotype_canonical,0.6043223143125,0.1909804529600342,0.013504357336211864,0.31602416200252476,291.24470314999996,94.57764972468478,6.687649746901061,0.32473603365749243
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,NIK,0.3016038054625,0.16661725622051674,0.011781619173622384,0.5524375130645796,149.9219168125,82.80598002666673,5.8552669999653855,0.5523273833953718
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,IKKa_noncanonical,0.194307543625,0.13220426849614375,0.00934825347554303,0.6803867005353573,96.2662165175,65.37907075764707,4.622998428040735,0.6791486476022662
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,p100_RelB,0.1994798075125,0.09976269029744364,0.007054287481873579,0.5001142298134221,98.32596549124999,49.133678887270946,3.4742757525831585,0.49970197233042524
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,p52,0.15458555275,0.12243587019824227,0.008657523407765303,0.7920266028756835,75.80597383624999,59.96865193460725,4.240424044157656,0.7910808198856035
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,BAFF,0.44710484503750003,0.18407421762003323,0.013016012752073376,0.4117025786302861,217.545442775,90.72439109788284,6.41518321643334,0.41703650483598526
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,0.0,Phenotype_noncanonical,0.5597140156,0.19526384883060183,0.013807239162870346,0.3488636042484726,268.3559921,96.00683456220175,6.788708375918786,0.3577592354502963
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TRAF2_5,0.3710301767125,0.1869827267206159,0.013221675402889854,0.5039555768141822,184.99477605,93.10593684133542,6.583583930923468,0.5032895459500485
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TRAF6,0.5140471887875,0.15004758555636355,0.010609966524757333,0.29189457471849173,256.4177376,74.70473574073849,5.282422522902523,0.291339969067485
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TRAF2_3,0.562550321825,0.09375616052610557,0.006629561688602375,0.16666270889677234,280.72202888749996,46.73069931260685,3.304359437353384,0.1664660928029068
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,Btx,0.3206322692125,0.16174848688777568,0.011437345192500954,0.5044672742548455,159.37367051249998,80.28391211650894,5.67692986777683,0.5037463958653831
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,TAK1_TAB,0.3609828424125,0.14237756233464902,0.01006761398156407,0.3944164253988344,179.6141438875,70.68967720425162,4.998515011101443,0.39356409063490894
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,NEMO_IKKa_IKKb,0.2614792861875,0.08555727658568645,0.006049813045359191,0.32720479634603084,129.8486561375,42.467141254702234,3.0028803558806936,0.32705106481604795
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,IkBa_release_signal,0.12631894354625,0.05908671235089703,0.004178061498133822,0.4677581263119353,62.666885441249995,29.391268245150606,2.078276508381883,0.46900796231057035
beta_1p50,beta,1.5,1.0,1.5,1.0,0.75,100.0,p50_p65,0.069182547215,0.040269209188146776,0.002847463088995821,0.5820717913580334,34.21879380625,19.925799463872163,1.408966792146728,0.5823057228929196
